COUNTRY,Country,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
PRT,Portugal,2009,2009,IDX,Index,0,units,,,1.875,,
PRT,Portugal,2010,2010,IDX,Index,0,units,,,1.875,,
PRT,Portugal,2011,2011,IDX,Index,0,units,,,1.875,,
PRT,Portugal,2012,2012,IDX,Index,0,units,,,1.875,,
PRT,Portugal,2013,2013,IDX,Index,0,units,,,1.875,,
RUS,Russian Federation,2008,2008,IDX,Index,0,units,,,1.5,,
RUS,Russian Federation,2009,2009,IDX,Index,0,units,,,1.5,,
RUS,Russian Federation,2010,2010,IDX,Index,0,units,,,1.5,,
RUS,Russian Federation,2011,2011,IDX,Index,0,units,,,1.5,,
RUS,Russian Federation,2012,2012,IDX,Index,0,units,,,1.5,,
SVK,Slovak Republic,2002,2002,IDX,Index,0,units,,,4,,
SVK,Slovak Republic,2003,2003,IDX,Index,0,units,,,4,,
SVK,Slovak Republic,2004,2004,IDX,Index,0,units,,,3.75,,
SVK,Slovak Republic,2005,2005,IDX,Index,0,units,,,3.75,,
SVK,Slovak Republic,2006,2006,IDX,Index,0,units,,,3.75,,
SVK,Slovak Republic,2007,2007,IDX,Index,0,units,,,3.75,,
SVK,Slovak Republic,2008,2008,IDX,Index,0,units,,,3.75,,
SVK,Slovak Republic,2009,2009,IDX,Index,0,units,,,3.75,,
SVK,Slovak Republic,2010,2010,IDX,Index,0,units,,,3.75,,
SVK,Slovak Republic,2011,2011,IDX,Index,0,units,,,3.75,,
SVK,Slovak Republic,2012,2012,IDX,Index,0,units,,,3.375,,
SVK,Slovak Republic,2013,2013,IDX,Index,0,units,,,3.375,,
SVN,Slovenia,2008,2008,IDX,Index,0,units,,,3.375,,
SVN,Slovenia,2009,2009,IDX,Index,0,units,,,3.375,,
SVN,Slovenia,2010,2010,IDX,Index,0,units,,,3.375,,
SVN,Slovenia,2011,2011,IDX,Index,0,units,,,3.375,,
SVN,Slovenia,2012,2012,IDX,Index,0,units,,,3.375,,
SVN,Slovenia,2013,2013,IDX,Index,0,units,,,3.375,,
SWE,Sweden,2002,2002,IDX,Index,0,units,,,2.5,,
SWE,Sweden,2003,2003,IDX,Index,0,units,,,2.5,,
SWE,Sweden,2004,2004,IDX,Index,0,units,,,2.5,,
SWE,Sweden,2005,2005,IDX,Index,0,units,,,2.5,,
SWE,Sweden,2006,2006,IDX,Index,0,units,,,2.5,,
SWE,Sweden,2007,2007,IDX,Index,0,units,,,2.5,,
SWE,Sweden,2008,2008,IDX,Index,0,units,,,2.5,,
SWE,Sweden,2009,2009,IDX,Index,0,units,,,2.5,,
SWE,Sweden,2010,2010,IDX,Index,0,units,,,2.5,,
SWE,Sweden,2011,2011,IDX,Index,0,units,,,2.5,,
SWE,Sweden,2012,2012,IDX,Index,0,units,,,2.5,,
SWE,Sweden,2013,2013,IDX,Index,0,units,,,2.5,,
TUR,Turkey,2002,2002,IDX,Index,0,units,,,2.375,,
TUR,Turkey,2003,2003,IDX,Index,0,units,,,3.125,,
TUR,Turkey,2004,2004,IDX,Index,0,units,,,3.125,,
TUR,Turkey,2005,2005,IDX,Index,0,units,,,3.125,,
TUR,Turkey,2006,2006,IDX,Index,0,units,,,3.125,,
TUR,Turkey,2007,2007,IDX,Index,0,units,,,3.125,,
TUR,Turkey,2008,2008,IDX,Index,0,units,,,3.125,,
TUR,Turkey,2009,2009,IDX,Index,0,units,,,3.125,,
TUR,Turkey,2010,2010,IDX,Index,0,units,,,3.125,,
TUR,Turkey,2011,2011,IDX,Index,0,units,,,3.125,,
TUR,Turkey,2012,2012,IDX,Index,0,units,,,3.125,,
TUR,Turkey,2013,2013,IDX,Index,0,units,,,3.125,,
USA,United States,2002,2002,IDX,Index,0,units,,,2.875,,
USA,United States,2003,2003,IDX,Index,0,units,,,2.875,,
USA,United States,2004,2004,IDX,Index,0,units,,,2.875,,
USA,United States,2005,2005,IDX,Index,0,units,,,2.875,,
USA,United States,2006,2006,IDX,Index,0,units,,,2.875,,
USA,United States,2007,2007,IDX,Index,0,units,,,2.875,,
USA,United States,2008,2008,IDX,Index,0,units,,,2.875,,
USA,United States,2009,2009,IDX,Index,0,units,,,2.875,,
USA,United States,2010,2010,IDX,Index,0,units,,,2.875,,
USA,United States,2011,2011,IDX,Index,0,units,,,2.875,,
USA,United States,2012,2012,IDX,Index,0,units,,,2.875,,
USA,United States,2013,2013,IDX,Index,0,units,,,2.875,,
ZAF,South Africa,2008,2008,IDX,Index,0,units,,,1.875,,
ZAF,South Africa,2009,2009,IDX,Index,0,units,,,1.875,,
ZAF,South Africa,2010,2010,IDX,Index,0,units,,,1.875,,
ZAF,South Africa,2011,2011,IDX,Index,0,units,,,1.875,,
ZAF,South Africa,2012,2012,IDX,Index,0,units,,,1.875,,
