country,eprc_v1,eprc_v2,eprc_v3,epr_v1,epr_v3,epc,ept_v1,ept_v3,year,primerate,youthrate,oldrate,gdp
BEL,1.81,2.757,2.947,1.81,2.076,5.125,2.375,2.417,2009,21.9442078776,21.9442078776,6.7758067448,349703
BEL,2,2.893,3.083,2,2.267,5.125,2.375,2.417,2010,22.3988859313,7.3121397809,7.3121397809,365747
BEL,2,2.893,3.083,2,2.267,5.125,2.375,2.417,2010,22.3988859313,22.3988859313,7.3121397809,365747
BEL,2,2.893,3.083,2,2.267,5.125,2.375,2.417,2011,18.7332729998,6.3733831748,6.3733831748,379991
BEL,2,2.893,3.083,2,2.267,5.125,2.375,2.417,2011,18.7332729998,18.7332729998,6.3733831748,379991
BEL,1.81,2.757,2.947,1.81,2.076,5.125,2.375,2.417,2012,19.7502262378,6.7424214269,6.7424214269,388254
BEL,1.81,2.757,2.947,1.81,2.076,5.125,2.375,2.417,2012,19.7502262378,19.7502262378,6.7424214269,388254
BEL,1.81,2.757,2.947,1.81,2.076,5.125,2.375,2.417,2013,23.7020884378,7.3738348752,7.3738348752,395262
BEL,1.81,2.757,2.947,1.81,2.076,5.125,2.375,2.417,2013,23.7020884378,23.7020884378,7.3738348752,395262
CAN,0.921,"","",0.921,"","",0.25,,1985,16.050972236,9.2237337192,9.2237337192,495622
CAN,0.921,"","",0.921,"","",0.25,,1985,16.050972236,16.050972236,9.2237337192,495622
CAN,0.921,"","",0.921,"","",0.25,,1986,14.8082010582,8.3649806755,8.3649806755,521971
CAN,0.921,"","",0.921,"","",0.25,,1986,14.8082010582,14.8082010582,8.3649806755,521971
CAN,0.921,"","",0.921,"","",0.25,,1987,13.2115533686,7.7353397153,7.7353397153,568882
CAN,0.921,"","",0.921,"","",0.25,,1987,13.2115533686,13.2115533686,7.7353397153,568882
CAN,0.921,"","",0.921,"","",0.25,,1988,11.4953658874,6.9124568889,6.9124568889,622756
CAN,0.921,"","",0.921,"","",0.25,,1988,11.4953658874,11.4953658874,6.9124568889,622756
CAN,0.921,"","",0.921,"","",0.25,,1989,10.9479023565,6.8158780359,6.8158780359,667349
CAN,0.921,"","",0.921,"","",0.25,,1989,10.9479023565,10.9479023565,6.8158780359,667349
CAN,0.921,"","",0.921,"","",0.25,,1990,12.3496829677,7.3494308654,7.3494308654,690763
CAN,0.921,"","",0.921,"","",0.25,,1990,12.3496829677,12.3496829677,7.3494308654,690763
CAN,0.921,"","",0.921,"","",0.25,,1991,15.8453487934,9.2482973096,9.2482973096,696882
CAN,0.921,"","",0.921,"","",0.25,,1991,15.8453487934,15.8453487934,9.2482973096,696882
CAN,0.921,"","",0.921,"","",0.25,,1992,17.2231302047,10.0436010218,10.0436010218,713312
CAN,0.921,"","",0.921,"","",0.25,,1992,17.2231302047,17.2231302047,10.0436010218,713312
CAN,0.921,"","",0.921,"","",0.25,,1993,17.1901222728,10.2680848652,10.2680848652,741593
